"","AAPL","MSFT","GOOGL","NKE","KO","TSLA","JNJ","V","GS","NFLX","AMT"
"189",53.001083,108.725105,59.702999,80.324707,40.143486,20.638666,123.546616,145.150375,208.827332,377.880005,132.155991
"190",55.802387,109.860214,60.5765,79.173126,40.161007,19.653334,124.324593,145.24762,207.8237,377.049988,132.848358
"191",52.024834,101.265617,54.608002,71.917969,39.994648,17.125334,123.162094,131.779892,196.063019,325.890015,134.316116
"192",53.18623,105.605843,56.379501,73.395874,40.152245,18.118668,124.709122,138.5186,208.279877,364.700012,135.405487
"193",51.719463,97.602661,52.855999,69.211685,40.913967,19.233334,122.929604,130.554626,190.853302,301.829987,140.288864
"194",52.625973,101.885658,54.528999,72.013939,41.920834,22.488001,125.183075,134.045563,205.624847,301.779999,143.833679
"195",50.483517,106.798218,55.411999,74.825783,43.225403,23.210667,129.43959,140.784302,211.017059,327.5,144.886047
"196",45.073704,100.563065,52.729,72.167488,43.566853,22.933332,128.992477,135.640289,184.74939,286.730011,150.849487
"197",42.655945,98.781151,52.171501,69.451622,42.665047,22.546,126.971542,130.944901,175.725906,262.130005,147.987793
"198",43.324322,105.563927,54.729,71.342163,43.223042,22.744667,131.253799,135.503906,178.498749,288.75,150.21257
"199",40.655621,100.41935,52.328999,70.591393,43.32011,23.864668,130.875793,133.565369,164.592545,265.140015,153.637344
"200",39.929321,101.578552,52.585499,69.811768,43.540718,24.380667,119.689789,131.597565,158.271606,266.839996,153.794312
"201",36.370235,94.106049,49.5625,69.657761,41.978771,21.318001,115.271149,121.047577,146.619003,246.389999,145.855331
"202",38.061707,97.305794,52.248001,71.361427,41.784622,22.186666,116.135078,128.529037,153.031601,267.660004,146.833832
"203",36.375061,98.484161,54.268501,73.854347,41.899338,22.356667,116.954018,133.263397,160.653381,320.269989,149.525635
"204",36.934864,100.601395,54.3255,74.96125,41.978771,22.962,116.41407,133.789429,164.812408,354.640015,151.34494
"205",37.139957,102.229996,54.220501,77.483055,42.596489,19.172667,115.91008,133.467972,180.376663,321.98999,153.888229
"206",39.873814,101.913849,54.899502,78.233841,42.234684,20.584667,118.465889,134.042694,185.488403,340.660004,158.232269
"207",42.043056,101.578552,56.144501,79.610222,43.470131,21.148001,119.689789,137.832169,180.120148,352.190002,158.046616
"208",41.239513,102.325813,56.431499,82.199425,43.937832,20.544666,120.994637,139.780396,178.352112,351.769989,161.230408
"209",41.452763,105.264297,55.210499,80.803764,40.469753,19.415333,121.867577,140.52211,179.881943,356.970001,163.838669
"210",41.959221,107.785027,56.327499,82.517067,40.010876,21.325333,123.781052,144.542603,180.921112,358.100006,163.504501
"211",41.80172,106.207153,57.5425,82.275795,39.957928,18.439333,125.230469,143.283722,177.306396,352.600006,168.702499
"212",44.523067,110.248016,59.626499,83.829445,40.680622,19.330667,125.031158,150.475739,181.629349,358.820007,174.476013
"213",47.275925,115.664711,61.806499,84.92955,40.511482,18.268,125.103653,152.037094,178.971176,377.869995,180.732132
"214",45.732292,112.499367,58.613499,81.098503,41.463959,18.574667,125.810242,150.934372,175.843948,354.609985,180.93631
"215",47.421326,114.837273,60.9725,82.295113,41.37495,17.851999,122.811737,153.832626,186.007523,367.880005,179.191284
"216",48.211315,115.770523,60.4795,82.024918,41.579689,17.894667,122.485603,154.047333,186.559402,367.649994,183.371765
"217",49.401142,118.695328,62.073502,86.077888,42.265114,18.217333,124.578201,156.291824,189.392349,360.350006,179.884323
"218",49.507771,124.968292,63.870998,85.219063,42.959446,15.676,127.178146,158.994873,186.789352,374.850006,180.164078
"219",51.313122,124.015778,59.477501,82.700424,43.368916,17.002001,128.645645,158.126373,190.873215,385.029999,179.921646
"220",47.9664,122.312851,58.382,81.01165,42.897133,15.968,125.964233,156.828476,185.841965,361.040009,182.448639
"221",45.976521,123.673363,58.438999,81.609955,43.796207,14.068667,125.565628,160.373138,181.592575,354.450012,188.76152
"222",43.536606,121.906166,56.9305,79.284317,44.161175,12.708667,126.6437,158.955994,177.517944,354.390015,189.293015
"223",42.157299,115.725876,51.937,75.440712,44.49054,11.931333,119.885101,155.007507,169.254318,336.630005,195.158325
"224",46.847401,128.047852,54.138,79.91143,45.736763,14.192,126.798767,166.950714,179.352814,352.01001,195.680481
"225",47.166065,128.289246,54.6945,79.456604,45.636272,15.002,127.181831,165.719284,176.31308,350.619995,199.634216
"226",48.306969,133.049988,55.834999,81.769379,46.578243,14.909333,130.483612,169.912079,182.466476,371.040009,200.926605
"227",49.029457,131.022095,55,82.649963,46.291168,15.144667,127.108871,170.000015,191.123688,374.600006,189.454422
"228",48.954052,131.77533,56.2145,85.194992,46.2822,15.337333,128.978668,173.704163,191.964478,379.929993,197.892334
"229",49.747078,132.374008,57.673,85.736877,46.775608,16.825333,120.851936,175.248398,199.124893,365.98999,196.019318
"230",50.802837,134.508148,57.4025,83.898293,48.740299,17.344667,117.51368,176.802399,202.737427,307.299988,193.668686
"231",50.788242,135.531799,61.400002,84.382118,48.193058,16.150667,120.468872,177.418091,204.557541,325.929993,195.401215
"232",47.922607,130.066101,58.554001,78.672783,46.892239,15.383333,119.27401,168.57309,190.338333,310.100006,203.17421
"233",51.027599,133.841873,59.836498,80.627502,47.995697,15.666667,121.691063,174.564224,188.58287,312.279999,207.060684
"234",51.367023,132.989243,59.176498,77.927658,48.336597,15.057333,119.118973,175.432724,184.767044,298.98999,211.237442
"235",49.853065,131.516541,58.541,79.379189,49.090168,14.272,119.129402,174.591003,183.002335,291.029999,215.198837
"236",51.081326,133.347717,59.113499,83.775452,50.032139,14.712,118.412636,177.909012,187.55365,291.519989,225.762619
"237",54.597603,131.884705,61,84.163528,49.135029,16.473333,120.535347,171.263245,201.564651,288.269989,199.194061
"238",54.397377,134.210007,61.6325,85.453873,49.00629,16.232668,119.836967,171.56662,201.824951,291.559998,207.538269
"239",53.972488,135.02388,62.297001,88.102478,48.952068,15.246667,120.369957,171.556885,195.270401,264.75,207.940964
